Species,Recruit_Var,MeanAge,Trans_MeanAge,Recruit_Adj,Total_Adj,MeanAge_Adj,MeanAge_Adj_Round,Last_Assess,Years_Since_Assess,Beyond_Target_Freq,Greater_Than_10,Less_Than_6_Update,Greater_Than_Target_Freq,Factor_Score,Rank
Shortspine thornyhead ,0.5,25.4,10.67156738,0,0,10,10,2013,10,0,0,0,1,1,38
Silvergray rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Speckled rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Splitnose rockfish,1,15.91,8.933591021,-1,-1,7.933591021,8,2009,14,6,1,0,1,8,1
Squarespot rockfish,0.7,11.7,7.948808346,0,0,7.948808346,8,2021,2,-2,0,0,0,-2,58
Starry flounder,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Starry rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Stripetail rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Treefish rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Vermilion/Sunset rockfish,0.5,7.252882466,6.628044895,0,0,6.628044895,6,2021,2,-2,0,0,0,-2,58
Widow rockfish,0.6,9.7,7.402265488,0,0,7.402265488,8,2019,4,0,0,-1,0,-1,52
Yelloweye rockfish,0.5,21.78893375,10.06748683,0,0,10,10,2017,6,0,0,0,0,0,44
Yellowmouth rockfish,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,0,NA,4,5
Yellowtail rockfish,0.37832249,14.12,8.537458057,0,0,8.537458057,8,2017,6,0,0,0,0,0,44
